,start,end,Ward,2_name_of_the_road,3_start_point_of_road_latitude,3_start_point_of_road_longitude,4_end_point_of_road_latitude,4_end_point_of_road_longitude,5_type_of_road,6_length_of_road_in_metres,7_what_is_the_number_of_lanes_in_the_road,8_surface_of_the_road,9_nature_of_the_road,10_condition_of_the_road,11_flood_prone_is_there_a_water_logging_problem,12_number_of_bus_stops_on_the,13_is_the_road_one_way,14_does_the_road_have_a_zebra_crossing,15_is_the_road_accident_prone,16_does_the_road_have_a_designated_footpath_on_both_sides,17_are_signboards_available,18_if_a_signboard_is_available_is_it_visible_and_in_good_condition,19_are_there_functional_street_lights_on_the_road,20_is_there_a_dustbin_on_the_road,21_is_there_generally_waste_dumping_on_the_road_footpath,22_are_there_drainage_on_the_side_of_the_roads,23_if_there_is_a_footpath_what_is_its_width_in_metres,24_condition_of_footpath,25_is_there_a_tactile_path_available_for_people_with_visual_impairment,26_do_footpaths_have_ramps,27_do_footpaths_have_railings,28_are_there_designated_parking_spots_on_the_road,29_do_people_park_on_the_road,source_sheet,latitude,longitude
0,45:32.1,06:25.6,13,Arpana road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,550,1,Cement Blocks,Lot of potholes,Average (Few potholes and minorobstruction),Yes,0,No,No,Yes,No,No,,Yes,No,Yes,Yes,,,No,,,No,Yes,Sheet1,00:00.0,00:00.0
1,21:23.9,39:29.0,74,PuState Highwaypaka Road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,700,1,Tarred,No potholes,Average (Few potholes and minorobstruction),No,,Yes,No,No,No,No,No,Yes,No,No,Yes,0.77,Average (Walkable but minor problems),No,No,No,No,Yes,Sheet1,00:00.0,00:00.0
2,07:39.3,39:38.9,74,Don Bosco Road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,360,1,Tarred,Few potholes,Average (Few potholes and minorobstruction),No,0,Yes,No,No,No,No,,Yes,No,No,Yes,0.85,"Poor (broken, potholes, slippery)",No,Yes,No,No,Yes,Sheet1,00:00.0,00:00.0
3,40:54.1,39:46.7,74,Chitoor Road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,240,2,Tarred,No potholes,Good (No potholes),No,2,No,No,No,No,No,,Yes,No,Yes,Yes,0.88,Average (Walkable but minor problems),No,Yes,No,No,No,Sheet1,00:00.0,00:00.0
4,23:27.8,39:54.3,74,Lourdes Hospital Road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,1400,1,Tarred,No potholes,Good (No potholes),No,3,No,No,Yes,No,No,,Yes,No,No,Yes,0.65,"Poor (broken, potholes, slippery)",No,Yes,No,No,Yes,Sheet1,00:00.0,00:00.0
5,38:00.5,40:01.8,74,Chatiyath Road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,350,1,Tarred,No potholes,Good (No potholes),No,0,No,No,No,No,No,,Yes,No,No,Yes,1,Good (accessible and walkable),No,No,No,No,No,Sheet1,00:00.0,00:00.0
6,28:18.6,40:08.8,74,Peter Correya Road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,750,1,Tarred,No potholes,Good (No potholes),No,0,No,No,No,No,No,,Yes,No,No,Yes,0.79,Average (Walkable but minor problems),No,No,No,No,Yes,Sheet1,00:00.0,00:00.0
7,40:42.9,40:15.8,74,Lalsalam Road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,170,1,Cement Blocks,No potholes,Good (No potholes),No,0,No,No,No,No,No,,Yes,No,No,Yes,0.97,Average (Walkable but minor problems),No,No,No,No,Yes,Sheet1,00:00.0,00:00.0
8,45:37.0,40:22.4,74,Pramod Road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,200,1,Concreate,Few potholes,Average (Few potholes and minorobstruction),No,0,No,No,No,No,No,,Yes,No,Yes,Yes,0.8,"Poor (broken, potholes, slippery)",No,No,No,No,Yes,Sheet1,00:00.0,00:00.0
9,57:33.3,40:29.0,74,Pazhampilly Thomas Road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,800,2,Tarred,No potholes,Good (No potholes),No,0,Yes,No,Yes,No,No,,Yes,No,Yes,Yes,0.75,"Poor (broken, potholes, slippery)",No,No,No,No,Yes,Sheet1,00:00.0,00:00.0
10,01:38.8,40:36.3,74,Jesus Cross Road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,280,1,Concreate,A lot of potholes,Average (Few potholes and minorobstruction),No,0,No,No,Yes,No,No,,Yes,No,No,Yes,0.75,"Poor (broken, potholes, slippery)",No,No,No,No,Yes,Sheet1,00:00.0,00:00.0
11,04:20.6,40:46.3,74,TKC Road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,350,1,Tarred,A lot of potholes,Poor (SO many potholes or major obstruction),No,0,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,1.7,"Poor (broken, potholes, slippery)",No,No,No,No,Yes,Sheet1,00:00.0,00:00.0
12,40:46.3,17:55.1,73,People Road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,250,1,Cement Blocks,Few potholes,Average (Few potholes and minorobstruction),No,0,Yes,No,Yes,No,No,,Yes,No,Yes,Yes,0.9,"Poor (broken, potholes, slippery)",No,No,No,No,Yes,Sheet1,00:00.0,00:00.0
13,24:37.9,18:04.3,73,Popular Road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,140,1,Cement Blocks,Few potholes,Average (Few potholes and minorobstruction),No,0,No,No,No,No,No,,Yes,No,Yes,Yes,0.7,"Poor (broken, potholes, slippery)",No,No,No,No,Yes,Sheet1,00:00.0,00:00.0
14,33:41.8,18:15.9,73,Green Garden Road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,450,1,Cement Blocks,A few potholes,Average (Few potholes and minorobstruction),No,0,No,No,No,No,Yes,,Yes,No,No,Yes,0.85,Average (Walkable but minor problems),No,No,No,No,Yes,Sheet1,00:00.0,00:00.0
15,38:01.6,18:22.4,74,Anglo Indian School Road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,300,1,Cement Blocks,A few potholes,Average (Few potholes and minorobstruction),Yes,0,No,No,No,No,No,,No,No,Yes,Yes,0.81,Average (Walkable but minor problems),No,No,No,No,Yes,Sheet1,00:00.0,00:00.0
16,55:29.2,18:28.7,73,N.K Sreedharan Road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,600,1,Tarred,Few Potholes,Average (Few potholes and minorobstruction),No,0,No,No,No,No,No,,Yes,No,No,Yes,1,"Poor (broken, potholes, slippery)",No,No,No,No,Yes,Sheet1,00:00.0,00:00.0
17,12:07.6,18:35.4,73,SRM Road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,600,1,Tarred,Few potholes,Average (Few potholes and minorobstruction),No,0,No,No,Yes,No,Yes,,Yes,No,Yes,Yes,0.85,"Poor (broken, potholes, slippery)",No,No,No,No,Yes,Sheet1,00:00.0,00:00.0
18,24:43.4,18:41.4,73,Kelamangalam Road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,170,1,Tarred,A lot of potholes,Poor (SO many potholes or major obstruction),Yes,0,Yes,Yes,Yes,No,No,,Yes,No,Yes,Yes,75,Average (Walkable but minor problems),No,No,No,No,Yes,Sheet1,00:00.0,00:00.0
19,58:51.8,18:48.8,73,Pamattu Thudiyil Road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,140,1,Cement Blocks,Few potholes,Average (Few potholes and minorobstruction),Yes,0,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,0.87,"Poor (broken, potholes, slippery)",No,No,No,No,Yes,Sheet1,00:00.0,00:00.0
20,43:38.2,18:55.6,73,KarState Highwayaka Road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,500,1,Tarred,Few potholes,Average (Few potholes and minorobstruction),No,0,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,1.07,"Poor (broken, potholes, slippery)",No,No,No,No,Yes,Sheet1,00:00.0,00:00.0
21,11:15.6,19:07.4,73,Toll Gate Road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,800,1,Cement Blocks,A few potholes,Average (Few potholes and minorobstruction),No,0,No,No,No,No,No,No,Yes,No,Yes,Yes,1.19,"Poor (broken, potholes, slippery)",No,No,No,No,Yes,Sheet1,00:00.0,00:00.0
22,24:45.3,19:14.6,73,Chemmanam Road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,170,1,Cement Blocks,No potholes,Good (No potholes),No,0,No,No,No,No,No,,Yes,No,Yes,No,0.8,Average (Walkable but minor problems),No,No,No,No,Yes,Sheet1,00:00.0,00:00.0
23,30:38.5,19:20.7,73,Komaroth Devasay Road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,180,1,Cement Blocks,No potholes,Good (No potholes),No,0,No,No,No,No,No,No,Yes,No,Yes,Yes,0.87,Good (accessible and walkable),No,No,No,No,Yes,Sheet1,00:00.0,00:00.0
24,38:27.5,19:28.0,73,Erratakulangra Road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,550,1,Cement Blocks,Few potholes,Average (Few potholes and minorobstruction),No,0,No,No,No,No,No,No,Yes,No,No,Yes,0.8,Average (Walkable but minor problems),No,No,Yes,No,Yes,Sheet1,00:00.0,00:00.0
25,56:55.4,19:34.1,74,Pulikkapilly Road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,120,1,Cement Blocks,No potholes,Good (No potholes),No,0,No,No,No,No,No,No,Yes,No,No,Yes,0.76,Average (Walkable but minor problems),No,No,No,No,Yes,Sheet1,00:00.0,00:00.0
26,28:07.8,32:32.9,34,Chambadi Road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,300,1,Tarred,no potholes,Good (No potholes),No,0,No,No,No,No,Yes,Yes,Yes,No,No,Yes,,,,,,No,Yes,Sheet1,00:00.0,00:00.0
27,47:35.2,29:53.3,63,Kaloor kadvanantra road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,1350,4,Tarred,No potholes,Good (No potholes),No,3,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,2,Good (accessible and walkable),No,Yes,Yes,No,Yes,Sheet1,00:00.0,00:00.0
28,21:36.0,35:14.2,63,Gandhinagar road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,1000,2,Tarred,No potholes,Good (No potholes),No,2,No,No,Yes,Yes,Yes,Yes,Yes,No,No,,,Good (accessible and walkable),No,Yes,No,No,Yes,Sheet1,00:00.0,00:00.0
29,25:50.7,38:04.6,63,Sannithi road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,250,1,Concreate,No potholes,Good (No potholes),No,0,No,No,Yes,No,No,No,No,No,No,No,,Average (Walkable but minor problems),No,No,No,No,Yes,Sheet1,00:00.0,00:00.0
30,38:49.4,39:50.4,63,Bhattathirippad,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,300,1,Concreate,Few potholes,Average (Few potholes and minorobstruction),No,0,Yes,No,Yes,No,Yes,Yes,Yes,No,,No,,Average (Walkable but minor problems),No,No,No,No,No,Sheet1,00:00.0,00:00.0
31,46:35.2,43:05.1,63,AiState Highwaywarya ln,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,100,1,Concreate,No potholes,Good (No potholes),No,0,,Yes,Yes,No,Yes,Yes,No,No,No,No,,,No,,,No,No,Sheet1,00:00.0,00:00.0
32,59:23.1,45:27.7,63,H.I.G Avenue,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,180,1,Tarred,A lot of potholes,Poor (SO many potholes or major obstruction),Yes,1,No,No,Yes,No,No,No,Yes,No,No,Yes,,,No,No,No,No,Yes,Sheet1,00:00.0,00:00.0
33,02:21.4,48:26.0,63,MAVELI RAOD,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,1000,2,Tarred,No potholes,Good (No potholes),No,2,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,,,No,,,No,Yes,Sheet1,00:00.0,00:00.0
34,05:21.8,48:41.7,63,Market road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,180,2,Tarred,No potholes,Good (No potholes),No,2,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,2.5,Good (accessible and walkable),No,No,No,Yes,Yes,Sheet1,00:00.0,00:00.0
35,17:09.9,49:05.4,63,Warehouse road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,390,1,Tarred,No potholes,Good (No potholes),No,0,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,,,No,,,No,Yes,Sheet1,00:00.0,00:00.0
36,29:28.3,49:24.5,63,Udhyan nagar rd,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,700,2,Tarred,No potholes,Good (No potholes),No,0,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,3,Good (accessible and walkable),No,Yes,No,Yes,Yes,Sheet1,00:00.0,00:00.0
37,40:01.3,51:25.3,63,Salim rajan rd,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,700,2,Tarred,A lot of potholes,Poor (SO many potholes or major obstruction),Yes,3,No,No,Yes,No,No,,No,No,Yes,No,,,No,,,Yes,Yes,Sheet1,00:00.0,00:00.0
38,45:14.8,51:43.2,63,Gurudevan raod,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,100,1,Concreate,No potholes,Good (No potholes),No,0,No,No,Yes,No,Yes,Yes,Yes,No,No,No,,,,,,No,Yes,Sheet1,00:00.0,00:00.0
39,52:19.1,51:54.4,63,Chemmath road,00:00.0,00:00.0,00:00.0,00:00.0,Municipal Road,240,1,Concreate,No potholes,Good (No potholes),No,0,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,,,,,,No,Yes,Sheet1,00:00.0,00:00.0
